latitude_deg,longitude_deg,city,zip_code,county,state,country
40.016159,-74.32859599999999,Lakehurst,8733.0,Ocean County,New Jersey,United States
40.035835999999996,-74.351661,Jackson,8527.0,Ocean County,New Jersey,United States
40.01076,-74.531385,New Hanover Township,8015.0,Burlington County,New Jersey,United States
37.097658,-76.423707,Hampton,23665.0,York County,Virginia,United States
27.650094,-81.34294799999999,Avon Park,33825.0,Polk County,Florida,United States
33.981138,-77.913191,Kure Beach,28449.0,New Hanover County,North Carolina,United States
38.892177000000004,-123.54618,Point Arena,95468.0,Mendocino County,California,United States
32.770485,-105.93956999999999,Alamogordo,88310.0,Otero County,New Mexico,United States
44.043155,-103.195901,Rapid City,57701.0,Pennington County,South Dakota,United States
36.2394,-115.1367,North Las Vegas,89032.0,Clark County,Nevada,United States
36.2417,-114.9828,Nellis Air Force Base,89191.0,Clark County,Nevada,United States
31.325554999999998,-92.541703,Alexandria,71303.0,Rapides Parish,Louisiana,United States
38.140829,-117.199995,Tonopah,89049.0,Nye County,Nevada,United States
37.88285,-116.76737299999999,,,Nye County,Nevada,United States
44.453289,-83.378493,Oscoda Township,48750.0,Iosco County,Michigan,United States
41.346219,-96.244206,Omaha,68022.0,Douglas County,Nebraska,United States
41.126971999999995,-95.954188,Bellevue,68123.0,Sarpy County,Nebraska,United States
37.402848999999996,-116.240366,,,Nye County,Nevada,United States
27.647032,-81.277891,Lake Wales,33898.0,Polk County,Florida,United States
39.120929,-121.395128,Beale Air Force Base,95903.0,Yuba County,California,United States
32.422810999999996,-99.83904,Abilene,79607.0,Taylor County,Texas,United States
44.151978,-103.093531,Piedmont,57769.0,Meade County,South Dakota,United States
32.87178,-106.106007,Holloman Air Force Base,88330.0,Otero County,New Mexico,United States
41.116091,-95.90973100000001,Offutt Air Force Base,68113.0,Sarpy County,Nebraska,United States
35.34793,-77.962485,Goldsboro,27531.0,Wayne County,North Carolina,United States
33.974607,-80.470501,Sumter,29154.0,Sumter County,South Carolina,United States
37.08656,-76.362449,Hampton,23665.0,,Virginia,United States
30.969619,-83.198561,Moody Air Force Base,31699.0,Lowndes County,Georgia,United States
32.176866,-110.88276499999999,Tucson,85707.0,Pima County,Arizona,United States
43.048935,-115.865866,Mountain Home Air Force Base,83648.0,Elmore County,Idaho,United States
36.587616,-115.67633700000002,Indian Springs,89018.0,Clark County,Nevada,United States
33.678287,-78.92925,Myrtle Beach,29577.0,Horry County,South Carolina,United States
38.869654,-121.39085700000001,Lincoln,95648.0,Placer County,California,United States
29.379788,-98.585492,San Antonio,78243.0,Bexar County,Texas,United States
30.407940999999997,-88.957522,Biloxi,39531.0,Harrison County,Mississippi,United States
30.2384,-85.6449,Lynn Haven,32444.0,Bay County,Florida,United States
32.940331,-88.579459,Shuqualak,39361.0,Noxubee County,Mississippi,United States
32.4045,-86.2459,Montgomery,36115.0,Montgomery County,Alabama,United States
33.716667,-112.528333,Wittmann,85361.0,Maricopa County,Arizona,United States
33.538462,-112.32183700000002,Glendale,85307.0,Maricopa County,Arizona,United States
36.7385,-98.1275,Jet,73749.0,Alfalfa County,Oklahoma,United States
31.432617999999998,-100.405254,San Angelo,76905.0,Tom Green County,Texas,United States
33.539913,-112.360129,Glendale,85309.0,Maricopa County,Arizona,United States
32.382503,-86.35685500000001,Montgomery,36112.0,Montgomery County,Alabama,United States
33.978245,-98.50067,Sheppard Air Force Base,76311.0,Wichita County,Texas,United States
30.045058,-85.54923199999999,Panama City,32403.0,Bay County,Florida,United States
32.640623,-113.055857,,,Maricopa County,Arizona,United States
29.529821000000002,-98.278474,Universal City,78148.0,Bexar County,Texas,United States
29.353921999999997,-100.786642,Laughlin Air Force Base,78840.0,Val Verde County,Texas,United States
36.341857,-97.91163,Enid,73705.0,Garfield County,Oklahoma,United States
33.641302,-88.451121,Columbus,39705.0,Lowndes County,Mississippi,United States
34.663911999999996,-99.274512,Altus,73521.0,Jackson County,Oklahoma,United States
32.886002000000005,-112.719641,Gila Bend,85337.0,Maricopa County,Arizona,United States
29.388137,-98.610535,San Antonio,78236.0,Bexar County,Texas,United States
29.682624,-98.570577,San Antonio,78257.0,Bexar County,Texas,United States
29.11835,-100.280446,Brackettville,78832.0,Kinney County,Texas,United States
29.565766999999997,-97.903976,Seguin,78155.0,Guadalupe County,Texas,United States
32.50015,-93.599897,,,Bossier Parish,Louisiana,United States
47.506485999999995,-111.182025,Great Falls,59405.0,Cascade County,Montana,United States
37.4303,-122.08933300000001,Mountain View,94043.0,Santa Clara County,California,United States
38.347,-121.9283,Vacaville,95687.0,Solano County,California,United States
47.657,-117.5447,Spokane,99224.0,Spokane County,Washington,United States
48.4777,-117.39399999999999,Cusick,99119.0,Pend Oreille County,Washington,United States
47.618545000000005,-117.64823,Fairchild Air Force Base,99011.0,Spokane County,Washington,United States
34.903971999999996,-92.138514,Jacksonville,72099.0,Pulaski County,Arkansas,United States
48.724531,-97.90307,Cavalier,58220.0,Pembina County,North Dakota,United States
47.955476000000004,-97.391251,Grand Forks Air Force Base,58205.0,Grand Forks County,North Dakota,United States
47.948652,-97.086139,Grand Forks,58203.0,Grand Forks County,North Dakota,United States
35.188858,-79.062464,Cameron,28326.0,Cumberland County,North Carolina,United States
35.172528,-79.011578,Pope Field,28308.0,Cumberland County,North Carolina,United States
47.12065,-119.29328000000001,Moses Lake,98837.0,Grant County,Washington,United States
47.90508,-122.29314,Mukilteo,98275.0,Snohomish County,Washington,United States
47.134491,-122.485184,Joint Base Lewis-McChord,98438.0,Pierce County,Washington,United States
27.843602,-82.501021,Tampa,33616.0,Hillsborough County,Florida,United States
38.59138,-90.208614,St. Louis,63118.0,,Missouri,United States
39.127777,-75.466853,Dover,19902.0,Kent County,Delaware,United States
37.625184000000004,-97.260274,McConnell Air Force Base,67221.0,Sedgwick County,Kansas,United States
38.758024,-104.30090799999999,Calhan,80808.0,El Paso County,Colorado,United States
38.994834000000004,-104.865348,U.S. Air Force Academy,80840.0,El Paso County,Colorado,United States
34.890454,-117.848968,,93523.0,Kern County,California,United States
32.6175,-83.581376,Robins Air Force Base,31098.0,Houston County,Georgia,United States
30.627909999999996,-86.7389,Eglin Air Force Base,32542.0,Okaloosa County,Florida,United States
30.47683,-86.534355,Eglin Air Force Base,32542.0,Okaloosa County,Florida,United States
30.426906,-86.691114,Hurlburt Field,32544.0,Okaloosa County,Florida,United States
35.003732,-106.507282,Albuquerque,87123.0,Bernalillo County,New Mexico,United States
39.820568,-84.035554,Wright-Patterson Air Force Base,45433.0,Greene County,Ohio,United States
35.364917,-86.07944300000001,Manchester,37355.0,Coffee County,Tennessee,United States
35.403696999999994,-97.360303,Oklahoma City,73150.0,Oklahoma County,Oklahoma,United States
41.752596999999994,-70.53817,Bourne,2561.0,Barnstable County,Massachusetts,United States
43.147439,-75.611722,Verona,13478.0,Oneida County,New York,United States
43.126742,-75.591475,Verona,13478.0,Oneida County,New York,United States
43.148198,-75.045162,Newport,13416.0,Herkimer County,New York,United States
43.222583,-75.409981,Rome,13441.0,Oneida County,New York,United States
42.460089,-71.27788199999999,Hanscom Air Force Base,1731.0,Middlesex County,Massachusetts,United States
40.499607,-113.60878899999999,,,Tooele County,Utah,United States
40.988127,-113.243495,,,Box Elder County,Utah,United States
41.125209000000005,-111.992173,Hill Air Force Base,84056.0,Davis County,Utah,United States
41.252179999999996,-112.246358,Ogden,84404.0,Weber County,Utah,United States
61.26515799999999,-149.804971,Anchorage,99506.0,Anchorage,Alaska,United States
35.42003,-80.1432,New London,28127.0,Stanly County,North Carolina,United States
47.551320000000004,-117.548507,Cheney,99004.0,Spokane County,Washington,United States
38.74175,-104.78215,Colorado Springs,80913.0,El Paso County,Colorado,United States
39.401468,-77.98626999999999,Martinsburg,25405.0,Berkeley County,West Virginia,United States
40.442378000000005,-104.631541,Greeley,80631.0,Weld County,Colorado,United States
